Example_Number,Gatschet&Swanton,Modern_Ortho,Gloss.1,Gloss.2,Gloss.3,Gloss.4,Gloss.5,Gloss.6,Translation,Raw_Block,Gloss.5_Fixed
322,[wi caknoˊmc puˊckin wāˊñ aˊñkāˊmctit coˊktokcik],wi šaknómš púškin waŋaŋkámštit šóktokšik,wi   šak-nomš puškin ø-waŋ-aŋkamš-tit             šoktokš-ik,my   PL-child outside 3STATS-go.about-play(pl)-PROGRESS(PL) ball-ERG.INSTR,,,wi   šak-nomš puškin ø-waŋ-aŋkamš-tit             šoktokš-ik    ,my   PL-child outside 3STATS-go.about-play(pl)-PROGRESS(PL) ball-ERG.INSTR    ,‘My children are going about outside playing with a ball.’ (1932:13:63),"[wi caknoˊmc puˊckin wāˊñ aˊñkāˊmctit coˊktokcik]                    
                                                                                    
          322) wi šaknómš púškin waŋaŋkámštit šóktokšik                             
                                                                                    
               wi   šak-nomš puškin ø-waŋ-aŋkamš-tit             šoktokš-ik         
                                                                                    
               my   PL-child outside 3STATS-go.about-play(pl)-PROGRESS(PL) ball-ERG.INSTR
                                                                                    
               ‘My children are going about outside playing with a ball.’ (1932:13:63)",wi   šak-nómš púškin ø-waŋ-aŋkámš-tit             šóktokš-ik    
323,,wí néš páyšik támšo,wi   néš       páyš-ik   tám-š-o,I    wood      axe-ERG.INSTR split-CAUS-1SS,,,wi   néš       páyš-ik   tám-š-o    ,I    wood      axe-ERG.INSTR split-CAUS-1SS    ,‘I split a block of wood with an axe.’ (1932:126:1),"323) wí néš páyšik támšo                                                  
                                                                                    
               wi   néš       páyš-ik   tám-š-o                                     
                                                                                    
               I    wood      axe-ERG.INSTR split-CAUS-1SS                          
                                                                                    
               ‘I split a block of wood with an axe.’ (1932:126:1)",wí   néš       páyš-ik   tám-š-o    
313,[īclaˊ-uc tāˊtik kaˊwat],hišláwš tá·tik káwat,hišlawš   ta·t-ik        ø-kaw-at,fever     yellow-ERG.INSTR 3SSTATS-die-PRET,,,hišlawš   ta·t-ik        ø-kaw-at    ,fever     yellow-ERG.INSTR 3SSTATS-die-PRET    ,‘She died of yellow fever. (1932:15:88),"[īclaˊ-uc tāˊtik kaˊwat]                                             
                                                                                    
          313) hišláwš tá·tik káwat                                                 
                                                                                    
                                                                                    
               hišlawš   ta·t-ik        ø-kaw-at                                    
                                                                                    
               fever     yellow-ERG.INSTR 3SSTATS-die-PRET                          
                                                                                    
               ‘She died of yellow fever. (1932:15:88)",hišláwš   tá·t-ik        ø-káw-at    
314,[eluˊik hicok’hēˊcat],ilúik hišoké·šat,ilu-ik         hi-šoke·š-at,heat-ERG.INSTR 1SSTATS-be.sick-PRET,,,ilu-ik         hi-šoke·š-at    ,heat-ERG.INSTR 1SSTATS-be.sick-PRET    ,‘I became sick from the heat.’ (1932:47:2),"[eluˊik hicok’hēˊcat]                                                
                                                                                    
          314) ilúik hišoké·šat                                                     
                                                                                    
               ilu-ik         hi-šoke·š-at                                          
                                                                                    
               heat-ERG.INSTR 1SSTATS-be.sick-PRET                                  
                                                                                    
               ‘I became sick from the heat.’ (1932:47:2)",ilú-ik         hi-šoké·š-at    
315,{wá-ush hikiláwĕt},wáwšik hiláwat,wawš-ik        hi-law-at,steam-ERG.INSTR 1SSTATS-burn-PRET,,,wawš-ik        hi-law-at    ,steam-ERG.INSTR 1SSTATS-burn-PRET    ,"‘I got burned by the steam.’ (Gatschet, 1885b:55)","{wá-ush hikiláwĕt}                                                   
                                                                                    
                                                                                    
          315) wáwšik hiláwat                                                       
                                                                                    
               wawš-ik        hi-law-at                                             
                                                                                    
               steam-ERG.INSTR 1SSTATS-burn-PRET                                    
                                                                                    
               ‘I got burned by the steam.’ (Gatschet, 1885b:55)",wáwš-ik        hi-láw-at    
317,[luˊ itka aˊmcne],lúik ká ámšne,lu-ik          ka   am-š-ne,clay-ERG.INSTR made drink-CAUS-GER,,,lu-ik          ka   am-š-ne    ,clay-ERG.INSTR made drink-CAUS-GER    ,‘drinking vessel made of clay’ (1928:77:2),"[luˊ itka aˊmcne]                                                    
                                                                                    
          317) lúik ká ámšne                                                        
                                                                                    
               lu-ik          ka   am-š-ne                                          
                                                                                    
               clay-ERG.INSTR made drink-CAUS-GER                                   
                                                                                    
               ‘drinking vessel made of clay’ (1928:77:2)",lú-ik          ká   ám-š-ne    
318,[Yukiˊti Icaˊt toˊkc coxkoˊ-i waˊci kaˊwĕt],yukhíti iša·ttókš šokóy wáši káwat,yukhiti   iša·ttókš šokoy waši-ø   ø-kawat,Indian    PN        chief old-ABS  3STATS-die-PRET,,,yukhiti   iša·ttókš šokoy waši-ø   ø-kawat    ,Indian    PN        chief old-ABS  3STATS-die-PRET    ,"‘The Indian, Iša·ttokš, the old chief, died.’ (1932:13:54)","[Yukiˊti Icaˊt toˊkc coxkoˊ-i waˊci kaˊwĕt]                          
                                                                                    
          318) yukhíti iša·ttókš šokóy wáši káwat                                   
                                                                                    
                                                                                    
               yukhiti   iša·ttókš šokoy waši-ø   ø-kawat                           
                                                                                    
               Indian    PN        chief old-ABS  3STATS-die-PRET                   
                                                                                    
               ‘The Indian, Iša·ttokš, the old chief, died.’ (1932:13:54)",yukhíti   iša·ttókš šokóy wáši-ø   ø-káwat    
319,,čákta yukhíti iša·thatyíncne hinákka šakkéat,čakta3    yukhiti   iša·thatyincne-ø hinakka šak-ke-at,Choctaw   Indian    crown-ABS      like      3PLSTATS-have-PRET,,,čakta3    yukhiti   iša·thatyincne-ø hinakka šak-ke-at    ,Choctaw   Indian    crown-ABS      like      3PLSTATS-have-PRET    ,‘The Choctaw Indians had crowns in the same way.’ (1932:19:136-37),"319) čákta yukhíti iša·thatyíncne hinákka šakkéat                         
                                                                                    
               čakta3    yukhiti   iša·thatyincne-ø hinakka šak-ke-at               
                                                                                    
               Choctaw   Indian    crown-ABS      like      3PLSTATS-have-PRET      
                                                                                    
               ‘The Choctaw Indians had crowns in the same way.’ (1932:19:136-37)",čakta3    yukhíti   iša·thatyíncne-ø hinákka šak-ké-at    
320,[Icāk cokcaktsăñc konˊuˊhts],iša·k šokšakcáŋš kóŋ úhc,iša·k     šok-šak-caŋš-ø koŋ  ø-uhc,person    STH-3PLO-steal -ABS sieze 3PLSTATS-be.able,,,iša·k     šok-šak-caŋš-ø koŋ  ø-uhc    ,person    STH-3PLO-steal -ABS sieze 3PLSTATS-be.able    ,‘They can catch the thief.’ (1932:13:61),"[Icāk cokcaktsăñc konˊuˊhts]                                         
                                                                                    
          320) iša·k šokšakcáŋš kóŋ úhc                                             
                                                                                    
               iša·k     šok-šak-caŋš-ø koŋ  ø-uhc                                  
                                                                                    
               person    STH-3PLO-steal -ABS sieze 3PLSTATS-be.able                 
                                                                                    
               ‘They can catch the thief.’ (1932:13:61)",iša·k     šok-šak-cáŋš-ø kóŋ  ø-úhc    
321,[Iˊcak capiˊxk caklaˊwiulhahat],iša·k šappíhk šakláwiulháhat,iša·k     šak-pihk-ø     šak-law-i-ul-hah-at,person    PL-die(pl)-ABS 3PLOBJ-burn-CAUS-3PLS-NEG-PRET,,,iša·k     šak-pihk-ø     šak-law-i-ul-hah-at    ,person    PL-die(pl)-ABS 3PLOBJ-burn-CAUS-3PLS-NEG-PRET    ,‘They did not burn the dead.’ (1932:19:140),"[Iˊcak capiˊxk caklaˊwiulhahat]                                      
                                                                                    
          321) iša·k šappíhk šakláwiulháhat                                         
                                                                                    
                                                                                    
               iša·k     šak-pihk-ø     šak-law-i-ul-hah-at                         
                                                                                    
               person    PL-die(pl)-ABS 3PLOBJ-burn-CAUS-3PLS-NEG-PRET              
                                                                                    
               ‘They did not burn the dead.’ (1932:19:140)",iša·k     šap-píhk-ø     šak-láw-i-ul-háh-at    
322,[Yuk’hiˊti ipcōˊk oˊk yaˊ peˊneat],yukhíti ipšók ókya péniat,yukhiti   ipšok-ø   ok=ya     ø-peni-ø-at,Indian    doctor-ABS come=and 3OBJ-cure-3SS-PRET,,,yukhiti   ipšok-ø   ok=ya     ø-peni-ø-at    ,Indian    doctor-ABS come=and 3OBJ-cure-3SS-PRET    ,The Indian doctor came and cured her. (1932:55-56),"[Yuk’hiˊti ipcōˊk oˊk yaˊ peˊneat]                                   
                                                                                    
          322) yukhíti ipšók ókya péniat                                            
                                                                                    
               yukhiti   ipšok-ø   ok=ya     ø-peni-ø-at                            
                                                                                    
                                                                                    
               Indian    doctor-ABS come=and 3OBJ-cure-3SS-PRET                     
                                                                                    
               The Indian doctor came and cured her. (1932:55-56)",yukhíti   ipšók-ø   ók=ya     ø-péni-ø-at    
323,[Iyuˊtskin hac okwaˊñc oˊt tiˊcat yaˊ kaˊwat],hiyúckin há·š hokwáŋšot tíšatya káwat,hi-yuc-kin          ha-iš     hokwaŋš-ot ø-tiš-at=ya,1SSTAS-be.grown-WHEN he-FOC   war-DIR   3STATS-go-PRET=and,ø-kaw-at,3STATS-die-PRET,hi-yuc-kin          ha-iš     hokwaŋš-ot ø-tiš-at=ya    ø-kaw-at,1SSTAS-be.grown-WHEN he-FOC   war-DIR   3STATS-go-PRET=and    3STATS-die-PRET,"‘When I was grown, he went to the war and died.’ (1932:16-17:104-05)","[Iyuˊtskin hac okwaˊñc oˊt tiˊcat yaˊ kaˊwat]                        
                                                                                    
          323) hiyúckin há·š hokwáŋšot tíšatya káwat                                
                                                                                    
               hi-yuc-kin          ha-iš     hokwaŋš-ot ø-tiš-at=ya                 
                                                                                    
               1SSTAS-be.grown-WHEN he-FOC   war-DIR   3STATS-go-PRET=and           
                                                                                    
                                                                                    
               ø-kaw-at                                                             
                                                                                    
               3STATS-die-PRET                                                      
                                                                                    
               ‘When I was grown, he went to the war and died.’ (1932:16-17:104-05)",hi-yúc-kin          há-·š     hokwáŋš-ot ø-tíš-at=ya    ø-káw-at
324,[Haˊlkin tsīˊpcat Yuk’hiˊti Tuˊl oˊt],hálkin cípšat yukhíti túlot,halkin    cipš-ø-at      yukhiti   tul-ot,afterwards move-3SS-PRET Indian    lake-DIR,,,halkin    cipš-ø-at      yukhiti   tul-ot    ,afterwards move-3SS-PRET Indian    lake-DIR    ,‘Afterwards he moved to Lake Prien (Indian Lake).’ (1932:16:95),"[Haˊlkin tsīˊpcat Yuk’hiˊti Tuˊl oˊt]                                
                                                                                    
          324) hálkin cípšat yukhíti túlot                                          
                                                                                    
               halkin    cipš-ø-at      yukhiti   tul-ot                            
                                                                                    
               afterwards move-3SS-PRET Indian    lake-DIR                          
                                                                                    
               ‘Afterwards he moved to Lake Prien (Indian Lake).’ (1932:16:95)",hálkin    cípš-ø-at      yukhíti   túl-ot    
326,[Loˊ yukiˊti haˊl cox̥ koˊyit yuk’hit cakicaˊk ut],ló yukhíti halšokóyat yukhitšakiša·kot,lo   yukhiti   ø-hal-šokoy-at      yukhit-šak-iša·k-ot,PN   Indian    3STATS-be.last-be.chief-PRET Indian-PL-person-DIR,,,lo   yukhiti   ø-hal-šokoy-at      yukhit-šak-iša·k-ot    ,PN   Indian    3STATS-be.last-be.chief-PRET Indian-PL-person-DIR    ,‘Lo was the last Indian chief pertaining to the Indian people.’ (1932:10:28),"[Loˊ yukiˊti haˊl cox̥ koˊyit yuk’hit cakicaˊk ut]                   
                                                                                    
          326) ló yukhíti halšokóyat yukhitšakiša·kot                               
                                                                                    
               lo   yukhiti   ø-hal-šokoy-at      yukhit-šak-iša·k-ot               
                                                                                    
               PN   Indian    3STATS-be.last-be.chief-PRET Indian-PL-person-DIR     
                                                                                    
                                                                                    
               ‘Lo was the last Indian chief pertaining to the Indian people.’ (1932:10:28)",ló   yukhíti   ø-hal-šokóy-at      yukhit-šak-iša·k-ot    
327,[Wāˊñ-pum yaˊ kic tanuˊk taˊxn ut ikāt paˊkĕt],wáŋpúmya kíš tanúk tánot iká·t pákat,waŋ-pum=ya     kiš       tanuk tan-ot,go.about-dance=and woman one  another-DIR foot,hika·t ø-pak-ø-at,3OBJ-step.on-3SS-PRET,waŋ-pum=ya     kiš       tanuk tan-ot    hika·t ø-pak-ø-at,go.about-dance=and woman one  another-DIR foot    3OBJ-step.on-3SS-PRET,"‘They were going about dancing, and one woman stepped on the foot belonging to another.’ (1932:20:141-142)","[Wāˊñ-pum yaˊ kic tanuˊk taˊxn ut ikāt paˊkĕt]                       
                                                                                    
          327) wáŋpúmya kíš tanúk tánot iká·t pákat                                 
                                                                                    
               waŋ-pum=ya     kiš       tanuk tan-ot                                
                                                                                    
               go.about-dance=and woman one  another-DIR foot                       
                                                                                    
               hika·t ø-pak-ø-at                                                    
                                                                                    
               3OBJ-step.on-3SS-PRET                                                
                                                                                    
               ‘They were going about dancing, and one woman stepped on the foot belonging to
                                                                                    
               another.’ (1932:20:141-142)",wáŋ-púm=ya     kíš       tanúk tán-ot    hika·t ø-pák-ø-at
328,[yaˊ icāk weˊhet ivivhaˊhĕt],ya išá·k wéhet hiwíwháhat,ya   išak      wehet     hi-wiw-ø-hah-at,that person    I(DIR)    1SO-believe-3SS-NEG-PRET,,,ya   išak      wehet     hi-wiw-ø-hah-at    ,that person    I(DIR)    1SO-believe-3SS-NEG-PRET    ,‘That person did not believe me.’ (1932:150:1),"[yaˊ icāk weˊhet ivivhaˊhĕt]                                         
                                                                                    
          328) ya išá·k wéhet hiwíwháhat                                            
                                                                                    
               ya   išak      wehet     hi-wiw-ø-hah-at                             
                                                                                    
               that person    I(DIR)    1SO-believe-3SS-NEG-PRET                    
                                                                                    
               ‘That person did not believe me.’ (1932:150:1)",ya   išak      wéhet     hi-wíw-ø-háh-at    
329,[wēt hihaˊyuĕt],wé·t hiháyuat,wehet     hi-hayu-ø-at,I(DIR)    1SO-laugh.at-3SS-PRET,,,wehet     hi-hayu-ø-at    ,I(DIR)    1SO-laugh.at-3SS-PRET    ,‘He laughed at me.’ (1932:37:2),"[wēt hihaˊyuĕt]                                                      
                                                                                    
          329) wé·t hiháyuat                                                        
                                                                                    
               wehet     hi-hayu-ø-at                                               
                                                                                    
               I(DIR)    1SO-laugh.at-3SS-PRET                                      
                                                                                    
               ‘He laughed at me.’ (1932:37:2)",wehet     hi-háyu-ø-at    
330,[weˊhet himiˊcat],wéhet himíšat,wehet     hi-miš-ø-at,I(DIR)    1SO-give-3SS-PRET,,,wehet     hi-miš-ø-at    ,I(DIR)    1SO-give-3SS-PRET    ,‘He gave it to me.’ (1932:80:2),"[weˊhet himiˊcat]                                                    
                                                                                    
          330) wéhet himíšat                                                        
                                                                                    
                                                                                    
               wehet     hi-miš-ø-at                                                
                                                                                    
               I(DIR)    1SO-give-3SS-PRET                                          
                                                                                    
               ‘He gave it to me.’ (1932:80:2)",wéhet     hi-míš-ø-at    
331,[Yukiˊt nuˊnkin puˊm ichāˊxc a itiyiˊlc],yukít núŋkin púm išháhš a itiyílš,yukit nuŋ-kin  pum       iš-hahš        a    itiyilš,our  village-LOC dance   1PLSTATS-not.have this month,,,yukit nuŋ-kin  pum       iš-hahš        a    itiyilš    ,our  village-LOC dance   1PLSTATS-not.have this month    ,‘We are not having a dance in our village this month.’ (1932:13:53),"[Yukiˊt nuˊnkin puˊm ichāˊxc a itiyiˊlc]                             
                                                                                    
          331) yukít núŋkin púm išháhš a itiyílš                                    
                                                                                    
               yukit nuŋ-kin  pum       iš-hahš        a    itiyilš                 
                                                                                    
               our  village-LOC dance   1PLSTATS-not.have this month                
                                                                                    
               ‘We are not having a dance in our village this month.’ (1932:13:53)",yukít núŋ-kin  púm       iš-háhš        a    itiyílš    
333,[haˊl yiˊlkin imōˊculat],hál yílkin himó·šulat,hal  yil-kin   himo·š-ul-at,next day-LOC   bury-3PLS-PRET,,,hal  yil-kin   himo·š-ul-at    ,next day-LOC   bury-3PLS-PRET    ,"‘On the next day, they buried him/her.’ (1932:18:124)","[haˊl yiˊlkin imōˊculat]                                             
                                                                                    
          333) hál yílkin himó·šulat                                                
                                                                                    
               hal  yil-kin   himo·š-ul-at                                          
                                                                                    
               next day-LOC   bury-3PLS-PRET                                        
                                                                                    
               ‘On the next day, they buried him/her.’ (1932:18:124)",hál  yíl-kin   himó·š-ul-at    
335,[kaukaˊ-u aˊm’n aˊnike ntaˊhĕntat],kawkáw ámn̥ ánike n̥ táhn̥ tat,kawkaw    ø-am-n̥        an-ike    ø-n̥tah-n̥t-at,water     3STATS-drink-WHEN ear-EL 3STATS-come.out-CONTIN-PRET,,,kawkaw    ø-am-n̥        an-ike    ø-n̥tah-n̥t-at    ,water     3STATS-drink-WHEN ear-EL 3STATS-come.out-CONTIN-PRET    ,"‘When he drank water, it kept on coming out of his ears. (1932:10:19-20)","[kaukaˊ-u aˊm’n aˊnike ntaˊhĕntat]                                   
                                                                                    
          335) kawkáw ámn̥ ánike n̥ táhn̥ tat                                       
                                                                                    
                                                                                    
               kawkaw    ø-am-n̥        an-ike    ø-n̥tah-n̥t-at                    
                                                                                    
               water     3STATS-drink-WHEN ear-EL 3STATS-come.out-CONTIN-PRET       
                                                                                    
               ‘When he drank water, it kept on coming out of his ears. (1932:10:19-20)",kawkaw    ø-am-n̥        an-ike    ø-n̥tah-n̥t-at    
336,[yā icak akipai-iˊke ōt],ya išá·k akipáyike ók,ya   iša·k     akipay-ike ok-ø,that person    south-EL  come-3SS,,,ya   iša·k     akipay-ike ok-ø    ,that person    south-EL  come-3SS    ,‘That man comes from the south.’ (1932:24:1),"[yā icak akipai-iˊke ōt]                                             
                                                                                    
          336) ya išá·k akipáyike ók                                                
                                                                                    
               ya   iša·k     akipay-ike ok-ø                                       
                                                                                    
               that person    south-EL  come-3SS                                    
                                                                                    
               ‘That man comes from the south.’ (1932:24:1)",ya   išá·k     akipáy-ike ók-ø    
337,{wi ipăn payóket tá-i hétsike},wi ipán payókat táy hécike,wi   ipan      pay-ok-ø-at         tay  hec-ike,my   male.cousin BACK-come-3SS-PRET river big-EL,,,wi   ipan      pay-ok-ø-at         tay  hec-ike    ,my   male.cousin BACK-come-3SS-PRET river big-EL    ,"‘My cousin has come back from the Mississippi River.’ (Gatschet, 1885b:48)","{wi ipăn payóket tá-i hétsike}                                       
                                                                                    
                                                                                    
          337) wi ipán payókat táy hécike                                           
                                                                                    
               wi   ipan      pay-ok-ø-at         tay  hec-ike                      
                                                                                    
               my   male.cousin BACK-come-3SS-PRET river big-EL                     
                                                                                    
               ‘My cousin has come back from the Mississippi River.’ (Gatschet, 1885b:48)",wi   ipán      pay-ók-ø-at         táy  héc-ike    
339,[nec hicoˊmckin yuk’hiˊti tulip lōˊx̥kin iwāˊt’n hūˊnst],neš hišómškin yukhíti túlip lókkin iwá·tn húnst,neš  hišomš-kin yukhiti  tul-ip    lok-kin,tree small-LOC Indian    lake-INESS prairie-LOC,ø-iwa·t-n           hu-nšt,3STATS-move.hither-WHEN see-CUSTOM,neš  hišomš-kin yukhiti  tul-ip    lok-kin    ø-iwa·t-n           hu-nšt,tree small-LOC Indian    lake-INESS prairie-LOC    3STATS-move.hither-WHEN see-CUSTOM,"‘They customarily see it (the Skin-Desirer) in the brush around Lake Prien (Indian Lake), when it moves towards them in the prairie.’ (1932:11:35)","[nec hicoˊmckin yuk’hiˊti tulip lōˊx̥kin iwāˊt’n hūˊnst]             
                                                                                    
          339) neš hišómškin yukhíti túlip lókkin iwá·tn húnst                      
                                                                                    
               neš  hišomš-kin yukhiti  tul-ip    lok-kin                           
                                                                                    
                                                                                    
               tree small-LOC Indian    lake-INESS prairie-LOC                      
                                                                                    
               ø-iwa·t-n           hu-nšt                                           
                                                                                    
               3STATS-move.hither-WHEN see-CUSTOM                                   
                                                                                    
               ‘They customarily see it (the Skin-Desirer) in the brush around Lake Prien (Indian
                                                                                    
               Lake), when it moves towards them in the prairie.’ (1932:11:35)",neš  hišómš-kin yukhíti  túl-ip    lók-kin    ø-iwá·t-n           hú-nst
340,[nē mak oˊtsip tiˊcta wi itēt teweˊta],ne·mak ocip tišta wi ite·t tiwe·ta,ne·mak    oc-ip     tiš-ta    wi   ite·t     tiwe·-ta,mountain  on-INESS  go(sg)-PCPL my father    be.with-PCPL,,,ne·mak    oc-ip     tiš-ta    wi   ite·t     tiwe·-ta    ,mountain  on-INESS  go(sg)-PCPL my father    be.with-PCPL    ,‘I am to go into the mountains in order to be with my father.’ (1932:78:1),"[nē mak oˊtsip tiˊcta wi itēt teweˊta]                               
                                                                                    
          340) ne·mak ocip tišta wi ite·t tiwe·ta                                   
                                                                                    
               ne·mak    oc-ip     tiš-ta    wi   ite·t     tiwe·-ta                
                                                                                    
               mountain  on-INESS  go(sg)-PCPL my father    be.with-PCPL            
                                                                                    
                                                                                    
               ‘I am to go into the mountains in order to be with my father.’ (1932:78:1)",ne·mak    oc-ip     tiš-ta    wi   ite·t     tiwe·-ta    
342,[haˊ icāˊk luˊkin tiktāt temaˊkip],á išá·k lúkin tiktá·t temákip,a    iša·k     lu-kin    tik-ta·t-ø     temak-ip,this person    mud-LOC   go.and-stand-3SS knee-INESS,,,a    iša·k     lu-kin    tik-ta·t-ø     temak-ip    ,this person    mud-LOC   go.and-stand-3SS knee-INESS    ,‘This man goes and stands up to his knees in mud.’ (1932:129:2),"[haˊ icāˊk luˊkin tiktāt temaˊkip]                                   
                                                                                    
          342) á išá·k lúkin tiktá·t temákip                                        
                                                                                    
               a    iša·k     lu-kin    tik-ta·t-ø     temak-ip                     
                                                                                    
               this person    mud-LOC   go.and-stand-3SS knee-INESS                 
                                                                                    
               ‘This man goes and stands up to his knees in mud.’ (1932:129:2)",á    išá·k     lú-kin    tik-tá·t-ø     temák-ip    
343,[tsanuˊkip iteˊ-u-iciˊko taˊ-i kipaˊxci],canúkip itéwišího táy kipáhši,canuk-ip  itew-iših-o    tay  kipahši,horse-INESS ride-ford-1SS river across,,,canuk-ip  itew-iših-o    tay  kipahši    ,horse-INESS ride-ford-1SS river across    ,‘I ford across the river riding on a horse.’ (1932:119:1),"[tsanuˊkip iteˊ-u-iciˊko taˊ-i kipaˊxci]                             
                                                                                    
                                                                                    
          343) canúkip itéwišího táy kipáhši                                        
                                                                                    
               canuk-ip  itew-iših-o    tay  kipahši                                
                                                                                    
               horse-INESS ride-ford-1SS river across                               
                                                                                    
               ‘I ford across the river riding on a horse.’ (1932:119:1)",canúk-ip  itéw-išíh-o    táy  kipáhši    
344,,tupóhipwáŋ / tupó·pwáŋ,tu-poh-ip-waŋ,boat-smoke-INESS-go.about,,,tu-poh-ip-waŋ    ,boat-smoke-INESS-go.about    ,‘steamboat’ (1932:105:2),"344) tupóhipwáŋ / tupó·pwáŋ                                               
                                                                                    
               tu-poh-ip-waŋ                                                        
                                                                                    
               boat-smoke-INESS-go.about                                            
                                                                                    
               ‘steamboat’ (1932:105:2)",tu-poh-ip-waŋ    
345,[Itiˊ tanuˊkip yiˊl tūt nēn ōˊl paˊi moˊhat],ití tanúkip yíl tútnan ó·l paymóhat,ití  tanuk-ip  yil  tutnan    o·l  pay-moh-ø-at,night one-INESS day before    near BACK-return-3SS-PRET,,,ití  tanuk-ip  yil  tutnan    o·l  pay-moh-ø-at    ,night one-INESS day before    near BACK-return-3SS-PRET    ,"‘Once at night, just before daybreak, she returned back.’ (1932:17:108-09)","[Itiˊ tanuˊkip yiˊl tūt nēn ōˊl paˊi moˊhat]                         
                                                                                    
          345) ití tanúkip yíl tútnan ó·l paymóhat                                  
                                                                                    
               ití  tanuk-ip  yil  tutnan    o·l  pay-moh-ø-at                      
                                                                                    
               night one-INESS day before    near BACK-return-3SS-PRET              
                                                                                    
               ‘Once at night, just before daybreak, she returned back.’ (1932:17:108-09)",ití  tanúk-ip  yíl  tútnan    ó·l  pay-móh-ø-at    
346,[aˊyip teˊxlk taˊlkop],áyip téɬk talkòp,ay-ip          teƛk      talkop,swamp-INESS    flower    blue,,,ay-ip          teƛk      talkop    ,swamp-INESS    flower    blue    ,"‘marsh lily,’ lit. ‘the blue flower found within the swamp.’ (1932:23:1)","[aˊyip teˊxlk taˊlkop]                                               
                                                                                    
          346) áyip téɬk talkòp                                                     
                                                                                    
               ay-ip          teƛk      talkop                                      
                                                                                    
               swamp-INESS    flower    blue                                        
                                                                                    
                                                                                    
               ‘marsh lily,’ lit. ‘the blue flower found within the swamp.’ (1932:23:1)",áy-ip          téɬk      talkòp    
347,[kaˊkip hiyeˊn],kákip hiyén,kak-ip hiyen,forest-INESS hog,,,kak-ip hiyen    ,forest-INESS hog    ,"‘opossum,’ lit. ‘the hog that is found within the forest.’ (1932:56:2)","[kaˊkip hiyeˊn]                                                      
                                                                                    
          347) kákip hiyén                                                          
                                                                                    
               kak-ip hiyen                                                         
                                                                                    
               forest-INESS hog                                                     
                                                                                    
               ‘opossum,’ lit. ‘the hog that is found within the forest.’ (1932:56:2)",kák-ip hiyén    
348,[nûñ-uˊcip cokoˊ-i],nuŋúšip šokóy,nuŋuš-ip  šokoy,city-INESS chief,,,nuŋuš-ip  šokoy    ,city-INESS chief    ,"‘judge,’ lit. ‘the chief that is found within the city.’ (1932:60:2)","[nûñ-uˊcip cokoˊ-i]                                                  
                                                                                    
          348) nuŋúšip šokóy                                                        
                                                                                    
               nuŋuš-ip  šokoy                                                      
                                                                                    
                                                                                    
               city-INESS chief                                                     
                                                                                    
               ‘judge,’ lit. ‘the chief that is found within the city.’ (1932:60:2)",nuŋúš-ip  šokóy    
349,{kiwílsh yukíti shakónshûl},kiwilš yukhiti šakoŋšul,kiwilš         yukhiti   šak-oŋš-ul,white.person   Indian    3PLO-not.like-3PLS,,,kiwilš         yukhiti   šak-oŋš-ul    ,white.person   Indian    3PLO-not.like-3PLS    ,"‘White people do not like the Indians.’ (Gatschet, 1885b:80)","{kiwílsh yukíti shakónshûl}                                          
                                                                                    
          349) kiwilš yukhiti šakoŋšul                                              
                                                                                    
               kiwilš         yukhiti   šak-oŋš-ul                                  
                                                                                    
               white.person   Indian    3PLO-not.like-3PLS                          
                                                                                    
               ‘White people do not like the Indians.’ (Gatschet, 1885b:80)",kiwilš         yukhiti   šak-oŋš-ul    
350,[Tchaˊkta yuk’hiti icāˊt atyiˊnsne hinaˊka cakeˊat],čákta yukhíti iša·thatyíncne hinákka šakkéat,čakta     yukhiti   iša·t-hat-yinc-ne        hinakka,Choctaw   Indian    head-REFLEX-wrap.around-GER like,šak-ke-at,3PLSTATS-have-PRET,čakta     yukhiti   iša·t-hat-yinc-ne        hinakka    šak-ke-at,Choctaw   Indian    head-REFLEX-wrap.around-GER like    3PLSTATS-have-PRET,‘The Choctaw Indians (plural marked on verb) had crowns (plural assumed) in the same way.’ (1932:19:136-37),"[Tchaˊkta yuk’hiti icāˊt atyiˊnsne hinaˊka cakeˊat]                  
                                                                                    
          350) čákta yukhíti iša·thatyíncne hinákka šakkéat                         
                                                                                    
               čakta     yukhiti   iša·t-hat-yinc-ne        hinakka                 
                                                                                    
               Choctaw   Indian    head-REFLEX-wrap.around-GER like                 
                                                                                    
               šak-ke-at                                                            
                                                                                    
               3PLSTATS-have-PRET                                                   
                                                                                    
               ‘The Choctaw Indians (plural marked on verb) had crowns (plural assumed) in the same
                                                                                    
               way.’ (1932:19:136-37)",čákta     yukhíti   iša·t-hat-yínc-ne        hinákka    šak-ké-at
